word	pos	polarity	strength
discouraging		negative	1.0
discouragingly		negative	1.0
discourteous	JJ	negative	1.0
discourteously	JJ	negative	1.0
discredit	VB	negative	1.0
discreet	JJ	positive	0.5
discreet	NN	positive	0.5
discrepant	JJ	negative	0.5
discretion	NN	positive	0.5
discriminate	VB	negative	0.5
discriminating	JJ	positive	0.5
discriminatingly	RB	positive	0.5
discrimination	JJ	negative	0.5
discrimination	NN	negative	0.5
discriminatory	JJ	negative	1.0
disdain	NN	negative	1.0
disdain	VB	negative	1.0
disdainful		negative	1.0
disdainfully		negative	1.0
disease	NN	negative	0.5
diseased	JJ	negative	0.5
disfavor	VB	negative	1.0
disgrace	NN	negative	1.0
disgrace	VB	negative	1.0
disgraced	JJ	negative	1.0
disgraceful		negative	1.0
disgracefully		negative	1.0
disgruntle	VB	negative	1.0
disgruntled	JJ	negative	1.0
disgust	NN	negative	1.0
disgust	VB	negative	1.0
disgusted	JJ	negative	1.0
disgustedly		negative	1.0
disgustful	JJ	negative	1.0
disgustfully		negative	1.0
disgusting		negative	1.0
disgustingly		negative	1.0
dishearten	VB	negative	1.0
disheartening		negative	1.0
dishearteningly		negative	1.0
dishonest	JJ	negative	1.0
dishonest	NN	negative	1.0
dishonestly		negative	1.0
dishonesty	NN	negative	1.0
dishonor	NN	negative	1.0
dishonor	VB	negative	1.0
dishonorable	JJ	negative	1.0
dishonorablely	RB	negative	1.0
disillusion	NN	negative	1.0
disillusion	VB	negative	1.0
disillusioned	JJ	negative	1.0
disinclination	NN	negative	1.0
disinclined		negative	1.0
disingenuous	JJ	negative	1.0
disingenuously	RB	negative	1.0
disintegrate	VB	negative	0.5
disinterested	JJ	negative	0.5
disintegration	NN	negative	0.5
disinterest	NN	negative	1.0
disinterested	JJ	negative	1.0
dislike	VB	negative	1.0
dislocated	JJ	negative	0.5
disloyal	JJ	negative	1.0
disloyal	NN	negative	1.0
disloyalty		negative	1.0
dismal	JJ	negative	1.0
dismally		negative	1.0
dismalness	NN	negative	1.0
dismay	NN	negative	1.0
dismay	VB	negative	1.0
dismayed	JJ	negative	1.0
dismaying		negative	1.0
dismayingly		negative	1.0
dismissive	JJ	negative	1.0
dismissive	NN	negative	1.0
dismissively		negative	1.0
disobedience	NN	negative	1.0
disobedient	JJ	negative	1.0
disobey	VB	negative	1.0
disown	VB	negative	1.0
disorder	NN	negative	0.5
disorder	VB	negative	0.5
disordered	JJ	negative	0.5
disorderly	JJ	negative	0.5
disorganized	JJ	negative	1.0
disorient	VB	negative	1.0
disoriented	JJ	negative	1.0
disown	VB	negative	1.0
disparage	VB	negative	1.0
disparaging	JJ	negative	1.0
disparagingly		negative	1.0
dispensable	JJ	negative	0.5
dispirit	VB	negative	1.0
dispirited	JJ	negative	1.0
dispiritedly	RB	negative	1.0
dispiriting		negative	1.0
displace	VB	negative	0.5
displaced	JJ	negative	0.5
displease	VB	negative	1.0
displeasing	JJ	negative	1.0
displeasure	JJ	negative	1.0
displeasure	NN	negative	1.0
disposition	NN	neutral	1.0
disproportionate	JJ	negative	0.5
disprove	VB	negative	1.0
disputable		negative	1.0
dispute	NN	negative	1.0
dispute	VB	negative	1.0
disputed	JJ	negative	1.0
disquiet	VB	negative	1.0
disquieting		negative	1.0
disquietingly		negative	1.0
disquietude	NN	negative	1.0
disregard	JJ	negative	1.0
disregard	NN	negative	1.0
disregardful	JJ	negative	1.0
disreputable	JJ	negative	1.0
disrepute	NN	negative	1.0
disrespect	VB	negative	1.0
disrespectable	JJ	negative	1.0
disrespectablity	NN	negative	1.0
disrespectful		negative	1.0
disrespectfully		negative	1.0
disrespectfulness	NN	negative	1.0
disrespecting	JJ	negative	1.0
disrespecting	NN	negative	1.0
disrupt	VB	negative	1.0
disruption	JJ	negative	1.0
disruption	NN	negative	1.0
disruptive	JJ	negative	1.0
dissatisfaction	JJ	negative	1.0
dissatisfaction	NN	negative	1.0
dissatisfactory	JJ	negative	1.0
dissatisfied	JJ	negative	1.0
dissatisfy	VB	negative	1.0
dissatisfying		negative	1.0
dissemble	VB	negative	1.0
dissembler	NN	negative	1.0
dissension	NN	negative	1.0
dissent	JJ	negative	1.0
dissent	NN	negative	1.0
dissenter	NN	negative	1.0
dissention	NN	negative	1.0
disservice	JJ	negative	1.0
disservice	NN	negative	1.0
dissidence	NN	negative	1.0
dissident	JJ	negative	1.0
dissident	NN	negative	1.0
dissidents	JJ	negative	1.0
dissidents	NN	negative	1.0
dissocial	JJ	negative	1.0
dissolute	JJ	negative	1.0
dissolution	NN	negative	0.5
dissonance	NN	negative	1.0
dissonant	JJ	negative	1.0
dissonantly	RB	negative	1.0
dissuade	VB	negative	1.0
dissuasive	JJ	negative	1.0
distaste	NN	negative	1.0
distasteful	JJ	negative	1.0
distastefully	RB	negative	1.0
distinct	JJ	positive	0.5
distinction	NN	positive	0.5
distinctive	JJ	positive	0.5
distinctive	JJ	positive	0.5
distinctive	NN	positive	0.5
distinctly	JJ	neutral	0.5
distinguish	VB	positive	0.5
distinguished	JJ	positive	1.0
distort	VB	negative	1.0
distortion	JJ	negative	1.0
distortion	NN	negative	1.0
distract	VB	negative	0.5
distracting	JJ	negative	1.0
distraction	JJ	negative	1.0
distraction	NN	negative	1.0
distraught	JJ	negative	1.0
distraughtly		negative	1.0
distraughtness	NN	negative	1.0
distress	VB	negative	1.0
distressed	JJ	negative	1.0
distressing	JJ	negative	1.0
distressingly		negative	1.0
distrust	VB	negative	1.0
distrustful	JJ	negative	1.0
distrusting		negative	1.0
disturb	VB	negative	1.0
disturbed	JJ	negative	1.0
disturbed-let	JJ	negative	1.0
disturbed-let	NN	negative	1.0
disturbing		negative	1.0
disturbingly		negative	1.0
disunity	NN	negative	1.0
disvalue	NN	negative	1.0
divergent	JJ	negative	0.5
diversified	JJ	positive	0.5
divide	VB	negative	0.5
divided	JJ	negative	0.5
divine	JJ	positive	1.0
divine		positive	1.0
divinely		positive	1.0
division	NN	negative	0.5
divisive	JJ	negative	1.0
divisively	RB	negative	1.0
divisiveness	NN	negative	1.0
divorce	NN	negative	0.5
divorce	VB	negative	0.5
divorced	JJ	negative	0.5
dizzy	JJ	negative	1.0
dizzing	JJ	negative	1.0
dizzingly	RB	negative	1.0
doddering	JJ	negative	1.0
dodge	JJ	positive	1.0
dodge	NN	positive	1.0
dodgey	JJ	negative	1.0
dogged	JJ	negative	1.0
doggedly	RB	negative	1.0
dogmatic	JJ	negative	1.0
doldrums	NN	negative	1.0
dominance	JJ	negative	0.5
dominance	NN	negative	0.5
dominant	JJ	neutral	0.5
dominant	NN	neutral	0.5
dominate	VB	negative	0.5
domination	JJ	negative	1.0
domination	NN	negative	1.0
domineer	VB	negative	1.0
domineering	JJ	negative	1.0
domineering	NN	negative	1.0
doom	VB	negative	1.0
doomsday	JJ	negative	1.0
doomsday	NN	negative	1.0
dope	NN	negative	0.5
dote	VB	positive	1.0
dotingly	RB	positive	1.0
doubt	NN	negative	1.0
doubt	VB	negative	1.0
doubtful	JJ	negative	1.0
doubtfully	RB	negative	1.0
doubtless	RB	positive	1.0
doubts	JJ	negative	1.0
doubts	NN	negative	1.0
down	NN	negative	0.5
downbeat	JJ	negative	1.0
downcast	JJ	negative	1.0
downer	NN	negative	1.0
downfall	NN	negative	1.0
downfallen	NN	negative	1.0
downgrade	VB	negative	0.5
downhearted	JJ	negative	1.0
downheartedly	RB	negative	1.0
downright		neutral	1.0
downside	NN	negative	1.0
drab	JJ	negative	1.0
draconian	JJ	negative	1.0
draconic	JJ	negative	1.0
dragon	NN	negative	1.0
dragons	JJ	negative	1.0
dragons	NN	negative	1.0
dragoon	VB	negative	1.0
drain	JJ	negative	1.0
drain	NN	negative	1.0
drama	JJ	negative	1.0
drama	NN	negative	1.0
dramatic	JJ	neutral	1.0
dramatically		neutral	1.0
drastic	JJ	negative	1.0
drastically	JJ	negative	1.0
dread		negative	1.0
dread	VB	negative	1.0
dreadful		negative	1.0
dreadfully		negative	1.0
dreadfulness	NN	negative	1.0
dream	JJ	positive	0.5
dream	NN	positive	0.5
dream	VB	positive	1.0
dreamland	NN	positive	1.0
dreams	JJ	positive	0.5
dreams	NN	positive	0.5
dreamy	JJ	positive	0.5
dreary	JJ	negative	1.0
drive	NN	positive	0.5
driven	JJ	positive	0.5
drones	JJ	negative	1.0
drones	NN	negative	1.0
droop	VB	negative	0.5
drought	JJ	negative	0.5
drought	NN	negative	0.5
drowning		negative	0.5
drunk	JJ	negative	1.0
drunkard	NN	negative	1.0
drunken	JJ	negative	1.0
dubious	JJ	negative	1.0
dubiously	RB	negative	1.0
dubitable	JJ	negative	1.0
dud		negative	0.5
dull	JJ	negative	0.5
dullard	NN	negative	1.0
dumb	JJ	negative	1.0
dumb	NN	negative	1.0
dumbfound	VB	negative	1.0
dumbfounded	JJ	negative	1.0
dummy	NN	negative	1.0
dump	NN	negative	0.5
dunce	NN	negative	1.0
dungeon	NN	negative	1.0
dungeons	JJ	negative	1.0
dungeons	NN	negative	1.0
dupe	VB	negative	1.0
durable	JJ	positive	0.5
durability	NN	positive	0.5
dusty	JJ	negative	0.5
duty	NN	neutral	0.5
dwindle	VB	negative	0.5
dwindling	JJ	negative	0.5
dynamic	JJ	positive	0.5
dying		negative	0.5
eager	JJ	positive	1.0
eagerly		positive	1.0
eagerness	NN	positive	1.0
earnest	JJ	positive	1.0
earnestly		positive	1.0
earnestness		positive	1.0
earsplitting	JJ	negative	1.0
ease	NN	positive	0.5
ease	VB	positive	0.5
easier		positive	0.5
easiest		positive	0.5
easily		positive	0.5
easiness		positive	0.5
easy	JJ	positive	0.5
easygoing	JJ	positive	1.0
ebullience	NN	positive	1.0
ebullient	JJ	positive	1.0
ebulliently		positive	1.0
eccentric	JJ	negative	0.5
eccentricity	NN	negative	0.5
eclectic	JJ	positive	1.0
economical	JJ	positive	0.5
ecstasies	NN	positive	1.0
ecstasy	NN	positive	1.0
ecstatic	JJ	positive	1.0
ecstatically		positive	1.0
edgy	JJ	negative	1.0
edify	VB	positive	1.0
educable	JJ	positive	0.5
educated	JJ	positive	0.5
educational	JJ	positive	0.5
effective	JJ	positive	0.5
effectively	RB	neutral	0.5
effectiveness	NN	positive	0.5
effectual	JJ	positive	0.5
efficacious	JJ	positive	0.5
efficiency	NN	positive	0.5
efficient	JJ	positive	0.5
effigy	NN	negative	1.0
effortless	JJ	positive	1.0
effortlessly	RB	positive	1.0
effrontery		negative	1.0
effusion	NN	positive	1.0
effusive	JJ	positive	1.0
effusively		positive	1.0
effusiveness	NN	positive	1.0
egalitarian	JJ	positive	0.5
ego	JJ	negative	1.0
ego	NN	negative	1.0
egocentric	JJ	negative	1.0
egomania	NN	negative	1.0
egotism	NN	negative	1.0
egotistical	JJ	negative	1.0
egotistically	RB	negative	1.0
egregious	JJ	negative	1.0
egregiously		negative	1.0
ejaculate	VB	negative	1.0
elaborate	JJ	neutral	1.0
elan	NN	positive	1.0
elate	VB	positive	0.5
elated	JJ	positive	1.0
elatedly	RB	positive	1.0
elation	NN	positive	1.0
election-rigger	JJ	negative	1.0
election-rigger	NN	negative	1.0
electrification	JJ	positive	1.0
electrification	NN	positive	1.0
electrify	VB	positive	0.5
elegance	NN	positive	1.0
elegant	JJ	positive	1.0
elegantly	RB	positive	1.0
elevate	VB	positive	0.5
elevated	JJ	positive	0.5
eligible	JJ	positive	0.5
eliminate	VB	negative	0.5
elimination	NN	negative	0.5
elite		positive	0.5
eloquence	NN	positive	1.0
eloquent	JJ	positive	1.0
eloquently		positive	1.0
else		neutral	0.5
emaciated		negative	1.0
emancipate	VB	positive	0.5
emasculate	VB	negative	1.0
embarrass	VB	negative	1.0
embarrassing		negative	1.0
embarrassingly		negative	1.0
embarrassment	NN	negative	1.0
embattled	JJ	negative	0.5
embellish	VB	positive	1.0
embodiment	NN	neutral	1.0
embolden	VB	positive	0.5
embrace	VB	positive	1.0
embroil	VB	negative	1.0
embroiled	JJ	negative	1.0
embroilment	NN	negative	1.0
eminence	NN	positive	1.0
eminent	JJ	positive	1.0
emotion	JJ	neutral	1.0
emotion	NN	neutral	1.0
emotional	JJ	negative	1.0
emotions	JJ	neutral	0.5
emotions	NN	neutral	0.5
empathize	VB	negative	1.0
empathy	NN	negative	1.0
emphasise	JJ	neutral	0.5
emphasise	NN	neutral	0.5
emphatic		negative	1.0
emphatically		negative	1.0
empower	VB	positive	0.5
empowerment	NN	positive	0.5
emptiness	JJ	negative	1.0
emptiness	NN	negative	1.0
empty	JJ	negative	0.5
enable	VB	positive	0.5
enchant	VB	positive	1.0
enchanted		positive	1.0
enchanting		positive	1.0
enchantingly		positive	1.0
encourage	VB	positive	0.5
encouragement	JJ	positive	1.0
encouragement	NN	positive	1.0
encouraging	JJ	positive	1.0
encouraging	NN	positive	1.0
encouragingly		positive	1.0
encroach	VB	negative	0.5
encroachment	NN	negative	0.5
endanger	VB	negative	1.0
endear	VB	positive	1.0
endearing	JJ	positive	1.0
endless	JJ	negative	0.5
endorse	VB	positive	1.0
endorsement	JJ	positive	1.0
endorsement	NN	positive	1.0
endorser	NN	positive	1.0
endurable	JJ	positive	1.0
endure	VB	positive	1.0
enduring	JJ	positive	1.0
enemies	JJ	negative	0.5
enemies	NN	negative	0.5
enemy	NN	negative	0.5
energetic	JJ	positive	0.5
energetic	NN	positive	0.5
energize	VB	positive	0.5
enervate	VB	negative	1.0
enfeeble	VB	negative	1.0
enflame	VB	negative	1.0
engage	VB	neutral	0.5
engaging	JJ	positive	1.0
engross	VB	neutral	0.5
engrossing		positive	1.0
engulf	VB	negative	0.5
enhance	VB	positive	0.5
enhanced	JJ	positive	0.5
enhancement	NN	positive	0.5
enjoin	VB	negative	1.0
enjoy	VB	positive	0.5
enjoyable	JJ	positive	1.0
enjoyably	RB	positive	1.0
enjoyment	NN	positive	1.0
enlighten	VB	positive	0.5
enlightenment	NN	positive	0.5
enliven	VB	positive	0.5
enmity	NN	negative	1.0
ennoble	VB	positive	1.0
enormities	NN	negative	1.0
enormity	NN	negative	1.0
enormous		negative	1.0
enormously		negative	1.0
enough		neutral	0.5
enrage	VB	negative	1.0
enraged	JJ	negative	1.0
enrapt	JJ	positive	1.0
enrapture	VB	positive	0.5
enraptured		positive	1.0
enrich	VB	positive	0.5
enrichment	NN	positive	0.5
enslave	VB	negative	1.0
ensure	VB	positive	0.5
entangle	VB	negative	0.5
entanglement	NN	negative	0.5
enterprising	JJ	positive	0.5
entertain	VB	positive	0.5
entertaining	JJ	positive	1.0
enthral	VB	positive	1.0
enthrall	VB	positive	1.0
enthralled		positive	1.0
enthuse	VB	positive	1.0
enthusiasm	NN	positive	1.0
enthusiast	NN	positive	1.0
enthusiastic	JJ	positive	1.0
enthusiastically	RB	positive	1.0
entice	VB	positive	1.0
enticing		positive	1.0
enticingly		positive	1.0
entire		neutral	0.5
entirely		neutral	1.0
entrance	VB	positive	0.5
entranced		positive	1.0
entrancing	JJ	positive	1.0
entrap	VB	negative	1.0
entrapment	NN	negative	1.0
entreat	VB	positive	1.0
entreatingly		positive	1.0
entrenchment	JJ	neutral	1.0
entrenchment	NN	neutral	1.0
entrust	VB	positive	0.5
enviable	JJ	positive	1.0
enviably		positive	1.0
envious	JJ	negative	1.0
enviously		negative	1.0
enviousness	NN	negative	1.0
envision	VB	positive	0.5
envisions	JJ	positive	0.5
envisions	NN	positive	0.5
envy	NN	negative	1.0
envy	VB	negative	1.0
epic	JJ	positive	1.0
epidemic	JJ	negative	0.5
epitome	NN	positive	1.0
equality	JJ	positive	0.5
equality	NN	positive	0.5
equitable	JJ	positive	0.5
equivocal	JJ	negative	1.0
eradicate	VB	negative	0.5
erase	VB	negative	0.5
erode	VB	negative	0.5
erosion	NN	negative	0.5
err	VB	negative	1.0
errant	JJ	negative	0.5
erratic	JJ	negative	1.0
erratically	RB	negative	1.0
erroneous	JJ	negative	1.0
erroneous		negative	1.0
erroneously		negative	1.0
error	JJ	negative	0.5
error	NN	negative	0.5
erudite	JJ	positive	1.0
escapade	NN	negative	0.5
eschew	VB	negative	1.0
esoteric	JJ	negative	0.5
essential	JJ	positive	0.5
especially		positive	1.0
esteem	NN	positive	1.0
esteem	VB	positive	1.0
estranged	JJ	negative	1.0
established	JJ	positive	0.5
eternal	JJ	negative	0.5
eternity	JJ	positive	1.0
eternity	NN	positive	1.0
ethical	JJ	positive	1.0
eulogize	VB	positive	1.0
euphoria	NN	positive	1.0
euphoric	JJ	positive	1.0
euphorically		positive	1.0
evaluate	VB	neutral	1.0
evaluation	JJ	neutral	0.5
evaluation	NN	neutral	0.5
evade	VB	negative	0.5
evasion	NN	negative	0.5
evasive	JJ	negative	0.5
even	RB	positive	0.5
evenly	RB	positive	0.5
eventful	JJ	positive	0.5
everlasting	JJ	positive	1.0
evident		positive	0.5
evidently		positive	1.0
evil	JJ	negative	1.0
evil	NN	negative	1.0
evildoer	NN	negative	1.0
evils	JJ	negative	1.0
evils	NN	negative	1.0
eviscerate	VB	negative	1.0
evocative	JJ	positive	1.0
exacerbate	VB	negative	1.0
exact	JJ	neutral	1.0
exacting	JJ	negative	0.5
exactly		neutral	1.0
exaggerate	VB	negative	1.0
exaggeration	JJ	negative	1.0
exaggeration	NN	negative	1.0
exalt	JJ	positive	1.0
exalt	VB	positive	1.0
exaltation	NN	positive	1.0
exalted	JJ	positive	1.0
exaltedly	RB	positive	1.0
exalting	JJ	positive	1.0
exaltingly		positive	1.0
exasperate	VB	negative	1.0
exasperation	NN	negative	1.0
exasperating	JJ	negative	1.0
exasperatingly		negative	1.0
exceed	VB	positive	1.0
exceeding	JJ	positive	1.0
exceedingly		positive	1.0
excel	VB	positive	1.0
excellence	NN	positive	1.0
excellency	NN	positive	1.0
excellent		positive	1.0
excellently		positive	1.0
exceptional		positive	1.0
exceptionally		positive	1.0
excessive	JJ	negative	1.0
excessively	JJ	negative	1.0
excite	VB	positive	0.5
excited	JJ	positive	1.0
excitedly		positive	1.0
excitedness	NN	positive	1.0
excitement	NN	positive	1.0
exciting	JJ	positive	1.0
excitingly	RB	positive	1.0
exclaim	VB	negative	1.0
exclude	VB	negative	0.5
exclusion	NN	negative	0.5
exclusive	JJ	positive	0.5
exclusively	JJ	neutral	0.5
excoriate	VB	negative	1.0
excruciating		negative	1.0
excruciatingly		negative	1.0
excusable	JJ	positive	1.0
excusable	NN	positive	1.0
excuse	JJ	negative	0.5
excuse	NN	negative	0.5
excuse	VB	positive	0.5
excuses	JJ	negative	0.5
excuses	NN	negative	0.5
execrate	VB	negative	1.0
exemplar	NN	positive	1.0
exemplary	JJ	positive	1.0
exhaust	VB	negative	0.5
exhaustion	NN	negative	0.5
exhaustive	JJ	positive	0.5
exhaustively	RB	positive	0.5
exhilarate	VB	positive	1.0
exhilarating		positive	1.0
exhilaratingly		positive	1.0
exhilaration	NN	positive	1.0
exhort	VB	negative	1.0
exile	VB	negative	0.5
exonerate	VB	positive	1.0
exorbitant	JJ	negative	1.0
exorbitantance	NN	negative	1.0
exorbitantly		negative	1.0
expansive	JJ	positive	1.0
expectation	JJ	neutral	0.5
expectation	NN	neutral	0.5
expedient	JJ	negative	0.5
expediencies	JJ	negative	0.5
expediencies	NN	negative	0.5
expel	VB	negative	0.5
expensive	JJ	negative	0.5
expensive	NN	negative	0.5
experienced	JJ	positive	0.5
expert	JJ	positive	0.5
expertly	RB	positive	1.0
expire	VB	negative	1.0
explicit	JJ	positive	1.0
explicitly	RB	positive	1.0
explode	VB	negative	0.5
exploit	VB	negative	1.0
exploitation	JJ	negative	1.0
exploitation	NN	negative	1.0
expose	VB	negative	0.5
exposed	JJ	negative	0.5
explosive	JJ	negative	0.5
expound	VB	neutral	0.5
expression	JJ	neutral	0.5
expression	NN	neutral	0.5
expressions	JJ	neutral	0.5
expressions	NN	neutral	0.5
expressive	JJ	positive	0.5
expropriate	JJ	negative	0.5
expropriate	NN	negative	0.5
expropriation	JJ	negative	0.5
expropriation	NN	negative	0.5
expulse	VB	negative	0.5
expunge	VB	negative	1.0
exquisite	JJ	positive	1.0
exquisitely	RB	positive	1.0
extemporize	VB	neutral	1.0
extensive	JJ	neutral	0.5
extensively		neutral	1.0
exterminate	VB	negative	1.0
extermination	NN	negative	1.0
extinguish	VB	negative	0.5
extol	VB	positive	1.0
extoll	VB	positive	1.0
extort	VB	negative	0.5
extortion	NN	negative	1.0
extraneous	JJ	negative	0.5
extraordinarily		positive	1.0
extraordinary		positive	1.0
extravagance	NN	negative	1.0
extravagant	JJ	negative	1.0
extravagantly		negative	1.0
extreme	JJ	negative	0.5
extreme		negative	1.0
extremely		negative	1.0
extremism	JJ	negative	0.5
extremism	NN	negative	0.5
extremist	JJ	negative	0.5
extremists	JJ	negative	0.5
extremists	NN	negative	0.5
exuberance	NN	positive	1.0
exuberant	JJ	positive	1.0
exuberantly		positive	1.0
exult	VB	positive	1.0
exultation	NN	positive	1.0
exultingly		positive	1.0
eyebrows	JJ	neutral	0.5
eyebrows	NN	neutral	0.5
fabricate	VB	negative	0.5
fabrication	NN	negative	1.0
fabulous	JJ	positive	1.0
fabulously		positive	1.0
facetious	JJ	negative	1.0
facetiously	RB	negative	1.0
facilitate	VB	positive	0.5
fact		neutral	1.0
facts		neutral	1.0
factual		neutral	0.5
fading		negative	0.5
fail	VB	negative	0.5
failing	NN	negative	1.0
failure	JJ	negative	0.5
failure	NN	negative	0.5
failures	JJ	negative	0.5
failures	NN	negative	0.5
faint	JJ	negative	0.5
fainthearted	JJ	negative	1.0
fair	JJ	positive	0.5
fair	NN	positive	0.5
fairly	RB	positive	0.5
fairness	JJ	positive	0.5
fairness	NN	positive	0.5
faith	JJ	positive	1.0
faith	NN	positive	1.0
faithful	JJ	positive	1.0
faithful	NN	positive	1.0
faithfully		positive	1.0
faithfulness	NN	positive	1.0
faithless	JJ	negative	1.0
fake	JJ	negative	1.0
fall	VB	negative	0.5
fallacies	JJ	negative	1.0
fallacies	NN	negative	1.0
fallacious	JJ	negative	1.0
fallaciously	RB	negative	1.0
fallaciousness	NN	negative	1.0
fallacy	NN	negative	1.0
fallout	NN	negative	1.0
false	JJ	negative	1.0
false		negative	1.0
falsehood	NN	negative	1.0
falsely		negative	1.0
falsify	VB	negative	1.0
falter	VB	negative	1.0
famed	JJ	positive	0.5
familiar	JJ	neutral	0.5
familiar		neutral	0.5
fame	NN	positive	1.0
famed	JJ	positive	1.0
famine	NN	negative	1.0
famished	JJ	negative	1.0
famous	JJ	positive	0.5
famously	JJ	positive	1.0
fanatic	NN	negative	1.0
fanatical	JJ	negative	1.0
fanatically		negative	1.0
fanaticism	NN	negative	1.0
fanatics	NN	negative	1.0
fanciful	JJ	negative	1.0
fancy	JJ	positive	1.0
fancy	VB	positive	1.0
fanfare	JJ	positive	1.0
fanfare	NN	positive	1.0
fantastic		positive	1.0
fantastically		positive	1.0
fantasy	JJ	positive	1.0
fantasy	NN	positive	1.0
far-fetched	JJ	negative	1.0
far-reaching	JJ	neutral	0.5
farfetched	JJ	negative	1.0
farce	NN	negative	1.0
farcical		negative	1.0
farcical-yet-provocative	JJ	negative	1.0
farcically		negative	1.0
farsighted	JJ	positive	0.5
fascinate	VB	positive	1.0
fascinating		positive	1.0
fascinatingly		positive	1.0
fascination		positive	1.0
fascism	JJ	negative	1.0
fascism	NN	negative	1.0
fascist		negative	1.0
fashionable	JJ	positive	1.0
fashionably	RB	positive	1.0
fast	JJ	neutral	0.5
fast-growing	JJ	positive	0.5
fast-paced	JJ	positive	0.5
fastest-growing	JJ	positive	0.5
fastidious	JJ	negative	1.0
fastidiously	RB	negative	1.0
fastuous	JJ	negative	1.0
fat	JJ	negative	0.5
fatal	JJ	negative	0.5
fatalistic	JJ	negative	1.0
fatalistically	RB	negative	1.0
fatally	RB	negative	0.5
fateful	JJ	negative	1.0
fatefully	RB	negative	1.0
fathom	VB	positive	0.5
fathomless	JJ	negative	1.0
fatigue	NN	negative	0.5
fatty	JJ	negative	0.5
fatuity	NN	negative	1.0
fatuous	JJ	negative	1.0
fatuously	RB	negative	1.0
fault	VB	negative	1.0
faulty	JJ	negative	0.5
favor	JJ	positive	0.5
favor	NN	positive	0.5
favor	VB	positive	1.0
favorable	JJ	positive	1.0
favorable		positive	1.0
favored	JJ	positive	0.5
favorite	JJ	positive	1.0
fawn	VB	both	1.0
fawningly	RB	negative	1.0
favour	NN	positive	1.0
faze	VB	negative	0.5
fear	NN	negative	1.0
fear	VB	negative	1.0
fearful	JJ	negative	1.0
fearfully		negative	1.0
fearless	JJ	positive	1.0
fearlessly	RB	positive	1.0
fears	JJ	negative	1.0
fears	NN	negative	1.0
fearsome	JJ	negative	1.0
feasible	JJ	positive	0.5
feasibly	RB	positive	0.5
feat	NN	positive	0.5
featly		positive	1.0
feckless	JJ	negative	1.0
feeble	JJ	negative	0.5
feeblely	JJ	negative	0.5
feebleminded	JJ	negative	1.0
feel		neutral	1.0
feels		neutral	1.0
felt	VB	neutral	1.0
feeling	JJ	neutral	1.0
feeling	NN	neutral	1.0
feeling	VB	neutral	1.0
feelings	JJ	neutral	1.0
feelings	NN	neutral	1.0
feign	VB	negative	0.5
feint	NN	negative	0.5
feisty	JJ	positive	1.0
feisty	NN	positive	1.0
felicitate	VB	positive	1.0
felicitous	JJ	positive	1.0
felicity	NN	positive	1.0
fell	JJ	negative	1.0
felon	NN	negative	0.5
felonious	JJ	negative	0.5
ferocious	JJ	negative	1.0
ferociously	RB	negative	1.0
ferocity	NN	negative	1.0
fertile	JJ	positive	0.5
fertile	NN	positive	0.5
fervent	JJ	positive	1.0
fervently		positive	1.0
fervid	JJ	positive	1.0
fervidly		positive	1.0
fervor	NN	positive	1.0
feverish	JJ	negative	0.5
festive	JJ	positive	1.0
fetid	JJ	negative	1.0
fever	NN	negative	0.5
fiasco	NN	negative	1.0
fiat	JJ	negative	0.5
fiat	NN	negative	0.5
fib	NN	negative	1.0
fib	VB	negative	1.0
fibber	NN	negative	1.0
fickle	JJ	negative	1.0
fiction	JJ	negative	0.5
fiction	NN	negative	0.5
fictional	JJ	negative	0.5
fictitious	JJ	negative	1.0
fidelity	NN	positive	1.0
fidget	VB	negative	1.0
fidgety	JJ	negative	1.0
fiend	NN	negative	1.0
fiendish	JJ	negative	1.0
fierce	JJ	negative	0.5
fiery	JJ	positive	0.5
fight	JJ	negative	0.5
fight	NN	negative	0.5
figurehead	JJ	negative	0.5
figurehead	NN	negative	0.5
filth	NN	negative	1.0
filthy	JJ	negative	1.0
finagle	VB	negative	0.5
finally		neutral	1.0
fine	JJ	positive	0.5
fine	VB	negative	0.5
finely	JJ	positive	1.0
firm	JJ	neutral	0.5
firm	NN	neutral	0.5
firmly	RB	neutral	0.5
first-class	JJ	positive	0.5
first-rate	JJ	positive	1.0
fissures	JJ	negative	0.5
fissures	NN	negative	0.5
fist	NN	negative	0.5
fit	JJ	positive	1.0
fitting	JJ	positive	1.0
fixer	JJ	neutral	1.0
fixer	NN	neutral	1.0
flabbergast	VB	negative	1.0
flabbergasted		negative	1.0
flagging	JJ	negative	0.5
flagrant		negative	1.0
flagrantly		negative	1.0
flair	NN	positive	0.5
flak	JJ	negative	1.0
flak	NN	negative	1.0
flake	NN	negative	0.5
flakey	JJ	negative	0.5
flaky	JJ	negative	0.5
flame	JJ	positive	0.5
flame	NN	positive	0.5
flash	JJ	negative	0.5
flash	NN	negative	0.5
flashy		negative	0.5
flat-out		negative	1.0
flatter	VB	positive	1.0
flattering	JJ	positive	1.0
flatteringly	RB	positive	1.0
flaunt	VB	negative	1.0
flaw	JJ	negative	0.5
flaw	NN	negative	0.5
flaws	NN	negative	0.5
flawed	JJ	negative	0.5
flawed	NN	negative	0.5
flawless	JJ	positive	1.0
flawlessly	RB	positive	1.0
fleer	VB	negative	1.0
fleeting	JJ	negative	0.5
flexible	JJ	positive	1.0
